n t lin w gyro out
1 102127 500 10.00 0.00 1300
2 102137 500 10.00 0.08 1275
3 102148 500 10.00 0.71 1152
4 102159 500 10.00 2.16 966
5 102169 500 10.00 3.60 830
6 102180 500 10.00 4.82 737
7 102190 500 10.00 5.62 672
8 102201 500 10.00 6.32 604
9 102211 500 10.00 6.91 571
10 102222 500 10.00 7.52 499
11 102232 500 10.00 7.85 505
12 102243 500 10.00 7.98 493
13 102254 500 10.00 7.95 506
14 102264 500 10.00 7.89 514
15 102275 500 10.00 7.86 517
16 102285 500 10.00 7.78 530
17 102296 500 10.00 8.09 458
18 102306 500 10.00 8.39 451
19 102317 500 10.00 8.36 471
20 102327 500 10.00 7.82 576
21 102338 500 10.00 7.47 566
22 102348 500 10.00 7.25 591
23 102359 500 10.00 7.23 560
24 102369 500 10.00 7.83 487
25 102380 500 10.00 7.91 509
26 102390 500 10.00 7.82 525
27 102401 500 10.00 7.70 544
28 102411 500 10.00 7.63 537
29 102422 500 10.00 8.04 435
30 102432 500 10.00 8.23 475
31 102443 500 10.00 8.18 484
32 102453 500 10.00 8.08 510
33 102464 500 10.00 7.90 503
34 102475 500 10.00 8.15 467
35 102485 500 10.00 8.46 434
36 102496 500 10.00 8.55 436
37 102506 500 10.00 8.48 480
38 102517 500 10.00 8.39 464
39 102527 500 10.00 8.47 437
40 102538 500 10.00 8.58 437
41 102548 500 10.00 8.54 443
42 102559 500 10.00 8.64 430
43 102569 500 10.00 8.71 423
44 102580 500 10.00 8.72 422
45 102590 500 10.00 8.86 396
46 102601 500 10.00 9.02 386
47 102611 500 10.00 9.11 382
48 102622 500 10.00 9.18 379
49 102632 500 10.00 9.25 367
50 102643 500 10.00 9.27 370
51 102654 500 10.00 9.36 358
52 102664 500 10.00 9.37 361
53 102675 500 10.00 9.38 360
54 102685 500 10.00 9.44 354
55 102696 500 10.00 9.48 348
56 102706 500 10.00 9.47 352
57 102717 500 10.00 9.48 350
58 102727 500 10.00 9.47 348
59 102738 500 10.00 9.49 352
60 102748 500 10.00 9.47 354
61 102759 500 10.00 9.46 350
62 102769 500 10.00 9.47 349
63 102780 500 10.00 9.52 345
64 102790 500 10.00 9.56 340
65 102801 500 10.00 9.57 344
66 102812 500 10.00 9.53 351
67 102822 500 10.00 9.58 336
68 102833 500 10.00 9.61 338
69 102843 500 10.00 9.61 339
70 102854 500 10.00 9.59 342
71 102864 500 10.00 9.60 333
72 102875 500 10.00 9.61 341
73 102885 500 10.00 9.63 334
74 102896 500 10.00 9.59 349
75 102906 500 10.00 9.55 348
76 102917 500 10.00 9.56 341
77 102927 500 10.00 9.56 341
78 102938 500 10.00 9.59 342
79 102948 500 10.00 9.56 346
80 102959 500 10.00 9.59 330
81 102969 500 10.00 9.64 333
82 102980 500 10.00 9.65 334
83 102991 500 10.00 9.61 340
84 103001 500 10.00 9.61 333
85 103012 500 10.00 9.66 332
86 103022 500 10.00 9.67 331
87 103033 500 10.00 9.67 334
88 103043 500 10.00 9.63 341
89 103054 500 10.00 9.64 333
90 103064 500 10.00 9.66 332
91 103075 500 10.00 9.63 337
92 103086 500 10.00 9.58 346
93 103096 500 10.00 9.55 343
94 103107 500 10.00 9.61 338
95 103117 500 10.00 9.63 336
96 103128 500 10.00 9.60 341
97 103138 500 10.00 9.62 336
98 103149 500 10.00 9.67 329
99 103160 500 10.00 9.67 332
100 103170 500 10.00 9.69 330
101 103181 500 10.00 9.67 333
102 103191 500 10.00 9.71 322
103 103202 500 10.00 9.72 328
104 103213 500 10.00 9.73 327
105 103223 500 10.00 9.69 333
106 103234 500 10.00 9.68 330
107 103245 500 10.00 9.68 330
108 103255 500 10.00 9.66 337
109 103266 500 10.00 9.61 344
