n t lin w gyro out
1 272476 1000 0.00 0.00 0
2 272486 1000 0.00 0.00 0
3 272497 1000 0.00 0.06 -3
4 272507 1000 0.00 0.23 -58
5 272518 1000 0.00 0.56 -75
6 272528 1000 0.00 0.61 -96
7 272539 1000 0.00 0.81 -113
8 272549 1000 0.00 0.93 -145
9 272560 1000 0.00 1.05 -173
10 272571 1000 0.00 1.15 -202
11 272581 1000 0.00 1.26 -227
12 272592 1000 0.00 1.09 -215
13 272602 1000 0.00 0.85 -193
14 272613 1000 0.00 0.65 -189
15 272623 1000 0.00 0.52 -187
16 272634 1000 0.00 0.52 -205
17 272644 1000 0.00 0.46 -206
18 272655 1000 0.00 0.37 -205
19 272665 1000 0.00 0.30 -204
20 272676 1000 0.00 0.30 -221
21 272686 1000 0.00 0.41 -238
22 272697 1000 0.00 0.56 -255
23 272707 1000 0.00 0.59 -264
24 272718 1000 0.00 0.67 -301
25 272728 1000 0.00 0.70 -304
26 272739 1000 0.00 0.95 -355
27 272750 1000 0.00 0.98 -344
28 272760 1000 0.00 0.84 -335
29 272771 1000 0.00 0.58 -328
30 272781 1000 0.00 0.41 -316
31 272792 1000 0.00 0.26 -310
32 272802 1000 0.00 0.12 -296
33 272813 1000 0.00 -0.11 -256
34 272823 1000 0.00 -0.13 -285
35 272834 1000 0.00 -0.08 -289
36 272844 1000 0.00 -0.09 -283
37 272855 1000 0.00 -0.10 -290
38 272866 1000 0.00 -0.09 -281
39 272876 1000 0.00 0.16 -321
40 272887 1000 0.00 0.30 -328
41 272897 1000 0.00 0.34 -321
42 272908 1000 0.00 0.42 -352
43 272918 1000 0.00 0.55 -374
44 272929 1000 0.00 0.57 -384
45 272939 1000 0.00 0.44 -359
46 272950 1000 0.00 0.12 -324
47 272960 1000 0.00 -0.03 -323
48 272971 1000 0.00 -0.09 -312
49 272982 1000 0.00 -0.22 -288
50 272992 1000 0.00 -0.35 -273
51 273003 1000 0.00 -0.32 -291
52 273013 1000 0.00 -0.23 -303
53 273024 1000 0.00 -0.12 -303
54 273034 1000 0.00 -0.07 -317
55 273045 1000 0.00 -0.04 -320
56 273055 1000 0.00 0.21 -353
57 273066 1000 0.00 0.37 -363
58 273076 1000 0.00 0.32 -348
59 273087 1000 0.00 0.31 -351
60 273098 1000 0.00 0.33 -356
61 273108 1000 0.00 0.25 -353
62 273119 1000 0.00 -0.04 -308
63 273129 1000 0.00 -0.25 -304
64 273140 1000 0.00 -0.27 -303
65 273150 1000 0.00 -0.32 -297
66 273161 1000 0.00 -0.34 -276
67 273171 1000 0.00 -0.50 -259
68 273182 1000 0.00 -0.34 -285
69 273192 1000 0.00 -0.23 -285
70 273203 1000 0.00 -0.10 -289
71 273214 1000 0.00 -0.08 -290
72 273224 1000 0.00 0.15 -333
73 273235 1000 0.00 0.35 -353
74 273245 1000 0.00 0.40 -350
75 273256 1000 0.00 0.27 -337
76 273266 1000 0.00 0.12 -327
77 273277 1000 0.00 0.03 -314
78 273287 1000 0.00 -0.11 -294
79 273298 1000 0.00 -0.29 -269
80 273308 1000 0.00 -0.43 -252
81 273319 1000 0.00 -0.34 -281
82 273330 1000 0.00 -0.34 -255
83 273340 1000 0.00 -0.38 -249
84 273351 1000 0.00 -0.35 -251
85 273361 1000 0.00 -0.10 -320
86 273372 1000 0.00 0.06 -296
87 273382 1000 0.00 0.13 -309
88 273393 1000 0.00 0.19 -318
89 273403 1000 0.00 0.34 -336
90 273414 1000 0.00 0.44 -345
91 273424 1000 0.00 0.27 -317
92 273435 1000 0.00 0.01 -277
93 273445 1000 0.00 -0.06 -295
94 273456 1000 0.00 -0.12 -288
95 273467 1000 0.00 -0.21 -271
96 273477 1000 0.00 -0.40 -248
97 273488 1000 0.00 -0.39 -256
98 273498 1000 0.00 -0.28 -270
99 273509 1000 0.00 -0.23 -260
100 273519 1000 0.00 -0.24 -265
