n t lin w gyro out
1 104900 0 15.00 -0.00 3000
2 104911 0 15.00 -0.01 3003
3 104921 0 15.00 0.38 2890
4 104932 0 15.00 2.16 2673
5 104942 0 15.00 4.17 2378
6 104953 0 15.00 6.30 2192
7 104963 0 15.00 8.48 2003
8 104974 0 15.00 10.00 1873
9 104985 0 15.00 11.75 1702
10 104995 0 15.00 13.05 1602
11 105006 0 15.00 14.12 1526
12 105016 0 15.00 14.85 1457
13 105027 0 15.00 15.48 1400
14 105037 0 15.00 15.99 1358
15 105048 0 15.00 16.28 1306
16 105058 0 15.00 16.63 1242
17 105069 0 15.00 16.87 1211
18 105080 0 15.00 17.06 1160
19 105090 0 15.00 17.16 1123
20 105101 0 15.00 17.26 1075
21 105111 0 15.00 17.36 1032
22 105122 0 15.00 17.43 985
23 105132 0 15.00 17.32 971
24 105143 0 15.00 17.07 988
25 105153 0 15.00 16.91 945
26 105164 0 15.00 16.70 955
27 105175 0 15.00 16.50 936
28 105185 0 15.00 16.36 931
29 105196 0 15.00 16.21 922
30 105206 0 15.00 16.23 903
31 105217 0 15.00 16.15 886
32 105227 0 15.00 16.10 877
33 105238 0 15.00 16.05 872
34 105248 0 15.00 16.08 832
35 105259 0 15.00 16.09 821
36 105269 0 15.00 16.07 809
37 105280 0 15.00 16.00 801
38 105291 0 15.00 15.93 788
39 105301 0 15.00 15.93 761
40 105312 0 15.00 15.92 763
41 105322 0 15.00 15.91 752
42 105333 0 15.00 15.85 743
43 105343 0 15.00 15.69 767
44 105354 0 15.00 15.55 754
45 105364 0 15.00 15.43 766
46 105375 0 15.00 15.19 797
47 105385 0 15.00 15.03 788
48 105396 0 15.00 14.75 858
49 105406 0 15.00 14.65 834
50 105417 0 15.00 14.49 878
51 105428 0 15.00 14.46 873
52 105438 0 15.00 14.38 886
53 105449 0 15.00 14.39 895
54 105459 0 15.00 14.43 895
55 105470 0 15.00 14.54 896
56 105480 0 15.00 14.54 902
57 105491 0 15.00 14.65 898
58 105501 0 15.00 14.68 891
59 105512 0 15.00 14.79 887
60 105522 0 15.00 14.95 871
61 105533 0 15.00 15.00 871
62 105543 0 15.00 15.02 874
63 105554 0 15.00 15.00 875
64 105565 0 15.00 15.06 856
65 105575 0 15.00 15.03 873
66 105586 0 15.00 15.14 847
67 105596 0 15.00 15.20 847
68 105607 0 15.00 15.15 855
69 105617 0 15.00 15.25 831
70 105628 0 15.00 15.07 862
71 105638 0 15.00 14.90 892
72 105649 0 15.00 14.79 884
73 105659 0 15.00 14.59 927
74 105670 0 15.00 14.58 914
75 105680 0 15.00 14.56 925
76 105691 0 15.00 14.58 939
77 105702 0 15.00 14.48 953
78 105712 0 15.00 14.54 948
79 105723 0 15.00 14.62 938
80 105733 0 15.00 14.75 937
81 105744 0 15.00 14.81 930
82 105754 0 15.00 14.86 944
83 105765 0 15.00 14.80 944
84 105775 0 15.00 14.92 924
85 105786 0 15.00 15.02 914
86 105796 0 15.00 15.06 918
87 105807 0 15.00 15.21 890
88 105817 0 15.00 15.14 909
89 105828 0 15.00 15.24 872
90 105839 0 15.00 15.33 873
91 105849 0 15.00 15.34 883
92 105860 0 15.00 15.33 869
93 105870 0 15.00 15.34 864
94 105881 0 15.00 15.47 835
95 105891 0 15.00 15.34 860
96 105902 0 15.00 15.14 885
97 105912 0 15.00 15.00 886
98 105923 0 15.00 14.77 938
99 105933 0 15.00 14.77 905
100 105944 0 15.00 14.66 932
