n t lin w gyro out
1 130438 500 15.00 -0.00 3000
2 130449 500 15.00 -0.00 3000
3 130459 500 15.00 0.24 2937
4 130470 500 15.00 1.61 2712
5 130480 500 15.00 3.11 2587
6 130491 500 15.00 4.48 2435
7 130501 500 15.00 5.80 2334
8 130512 500 15.00 7.11 2177
9 130523 500 15.00 8.31 2095
10 130533 500 15.00 9.44 1964
11 130544 500 15.00 10.44 1900
12 130554 500 15.00 11.25 1812
13 130565 500 15.00 12.20 1713
14 130575 500 15.00 12.94 1648
15 130586 500 15.00 13.48 1607
16 130596 500 15.00 13.99 1567
17 130607 500 15.00 14.54 1501
18 130618 500 15.00 14.89 1496
19 130628 500 15.00 15.27 1435
20 130639 500 15.00 15.47 1430
21 130649 500 15.00 15.75 1375
22 130660 500 15.00 16.10 1337
23 130670 500 15.00 16.41 1273
24 130681 500 15.00 16.67 1236
25 130691 500 15.00 16.75 1202
26 130702 500 15.00 16.90 1143
27 130712 500 15.00 17.01 1121
28 130723 500 15.00 17.13 1075
29 130733 500 15.00 17.19 1043
30 130744 500 15.00 17.13 1020
31 130755 500 15.00 17.26 967
32 130765 500 15.00 17.22 947
33 130776 500 15.00 17.29 891
34 130786 500 15.00 17.07 913
35 130797 500 15.00 16.89 875
36 130807 500 15.00 16.66 887
37 130818 500 15.00 16.41 889
38 130828 500 15.00 16.21 875
39 130839 500 15.00 16.12 857
40 130849 500 15.00 15.94 872
41 130860 500 15.00 15.95 838
42 130871 500 15.00 15.90 830
43 130881 500 15.00 15.86 831
44 130892 500 15.00 15.89 811
45 130902 500 15.00 15.81 812
46 130913 500 15.00 15.70 807
47 130923 500 15.00 15.68 793
48 130934 500 15.00 15.68 780
49 130944 500 15.00 15.65 779
50 130955 500 15.00 15.59 776
51 130965 500 15.00 15.55 775
52 130976 500 15.00 15.48 768
53 130986 500 15.00 15.49 755
54 130997 500 15.00 15.49 751
55 131007 500 15.00 15.41 756
56 131018 500 15.00 15.29 774
57 131029 500 15.00 14.99 804
58 131039 500 15.00 14.85 819
59 131050 500 15.00 14.65 829
60 131060 500 15.00 14.48 864
61 131071 500 15.00 14.35 880
62 131081 500 15.00 14.23 905
63 131092 500 15.00 14.24 903
64 131102 500 15.00 14.23 921
65 131113 500 15.00 14.12 945
66 131123 500 15.00 14.16 950
67 131134 500 15.00 14.17 953
68 131144 500 15.00 14.36 951
69 131155 500 15.00 14.44 954
70 131166 500 15.00 14.49 970
71 131176 500 15.00 14.59 941
72 131187 500 15.00 14.78 932
73 131197 500 15.00 14.83 938
74 131208 500 15.00 14.90 934
75 131218 500 15.00 14.95 932
76 131229 500 15.00 15.00 933
77 131239 500 15.00 15.15 899
78 131250 500 15.00 15.30 882
79 131260 500 15.00 15.28 889
80 131271 500 15.00 15.31 887
81 131281 500 15.00 15.27 880
82 131292 500 15.00 15.34 866
83 131303 500 15.00 15.33 867
84 131313 500 15.00 15.26 890
85 131324 500 15.00 15.07 894
86 131334 500 15.00 14.92 916
87 131345 500 15.00 14.85 914
88 131355 500 15.00 14.66 944
89 131366 500 15.00 14.63 940
90 131376 500 15.00 14.49 973
91 131387 500 15.00 14.58 956
92 131397 500 15.00 14.58 976
93 131408 500 15.00 14.67 955
94 131418 500 15.00 14.68 972
95 131429 500 15.00 14.75 952
96 131440 500 15.00 14.86 955
97 131450 500 15.00 14.95 941
98 131461 500 15.00 14.97 953
99 131471 500 15.00 15.04 930
100 131482 500 15.00 15.10 934
