n t lin w gyro out
1 612737 0 3.00 -0.00 600
2 612747 0 3.00 -0.00 600
3 612758 0 3.00 0.06 579
4 612768 0 3.00 0.81 474
5 612779 0 3.00 1.33 405
6 612790 0 3.00 1.65 411
7 612800 0 3.00 1.97 378
8 612811 0 3.00 2.21 367
9 612821 0 3.00 2.48 328
10 612832 0 3.00 2.73 301
11 612842 0 3.00 2.88 303
12 612853 0 3.00 3.07 279
13 612863 0 3.00 3.29 249
14 612874 0 3.00 3.39 245
15 612885 0 3.00 3.62 201
16 612895 0 3.00 3.75 195
17 612906 0 3.00 3.93 148
18 612916 0 3.00 4.07 122
19 612927 0 3.00 4.20 91
20 612937 0 3.00 4.31 61
21 612948 0 3.00 4.39 35
22 612958 0 3.00 4.47 3
23 612969 0 3.00 4.60 -29
24 612979 0 3.00 4.43 -17
25 612990 0 3.00 3.87 78
26 613001 0 3.00 2.57 230
27 613011 0 3.00 1.96 243
28 613022 0 3.00 1.98 190
29 613032 0 3.00 2.65 130
30 613043 0 3.00 2.92 123
31 613053 0 3.00 3.08 116
32 613064 0 3.00 3.30 80
33 613074 0 3.00 3.35 86
34 613085 0 3.00 3.58 36
35 613095 0 3.00 3.59 51
36 613106 0 3.00 3.75 -12
37 613116 0 3.00 3.85 0
38 613127 0 3.00 3.67 26
39 613137 0 3.00 3.43 35
40 613148 0 3.00 3.15 64
41 613159 0 3.00 2.90 84
42 613169 0 3.00 3.10 4
43 613180 0 3.00 3.52 -8
44 613190 0 3.00 3.44 14
45 613201 0 3.00 2.96 98
46 613211 0 3.00 2.24 176
47 613222 0 3.00 1.86 199
48 613232 0 3.00 2.11 150
49 613243 0 3.00 2.62 89
50 613253 0 3.00 2.88 90
51 613264 0 3.00 2.97 89
52 613274 0 3.00 3.18 67
53 613285 0 3.00 3.27 58
54 613295 0 3.00 3.42 35
55 613306 0 3.00 3.50 17
56 613317 0 3.00 3.58 3
57 613327 0 3.00 3.55 16
58 613338 0 3.00 3.32 36
59 613348 0 3.00 2.98 84
60 613359 0 3.00 3.16 5
61 613369 0 3.00 3.31 19
62 613380 0 3.00 3.11 47
63 613390 0 3.00 2.83 91
64 613401 0 3.00 2.81 57
65 613411 0 3.00 3.06 29
66 613422 0 3.00 3.14 19
67 613432 0 3.00 3.30 -1
68 613443 0 3.00 3.28 17
69 613453 0 3.00 3.08 52
70 613464 0 3.00 2.84 71
71 613474 0 3.00 2.98 18
72 613485 0 3.00 3.15 18
73 613495 0 3.00 3.11 27
74 613506 0 3.00 3.03 35
75 613516 0 3.00 3.15 13
76 613527 0 3.00 3.12 22
77 613537 0 3.00 3.08 21
78 613548 0 3.00 3.17 -2
79 613558 0 3.00 3.18 7
80 613569 0 3.00 3.04 34
81 613579 0 3.00 2.74 74
82 613590 0 3.00 2.46 108
83 613600 0 3.00 2.62 45
84 613611 0 3.00 2.86 53
85 613622 0 3.00 2.92 42
86 613632 0 3.00 3.08 22
87 613643 0 3.00 3.14 29
88 613653 0 3.00 3.21 9
89 613664 0 3.00 3.22 17
90 613674 0 3.00 3.04 48
91 613685 0 3.00 2.78 73
92 613695 0 3.00 2.86 46
93 613706 0 3.00 2.74 79
94 613716 0 3.00 2.74 76
95 613727 0 3.00 2.67 81
96 613737 0 3.00 2.57 111
97 613748 0 3.00 2.53 116
98 613758 0 3.00 2.42 141
99 613769 0 3.00 2.44 135
100 613779 0 3.00 2.35 170
101 613790 0 3.00 2.23 178
102 613800 0 3.00 2.46 153
103 613811 0 3.00 2.61 149
104 613821 0 3.00 2.62 167
105 613832 0 3.00 2.58 178
106 613842 0 3.00 2.53 192
107 613853 0 3.00 2.60 171
108 613863 0 3.00 2.62 193
109 613874 0 3.00 2.72 176
110 613884 0 3.00 2.72 189
111 613895 0 3.00 2.82 175
112 613905 0 3.00 2.86 182
113 613916 0 3.00 2.96 157
