n t lin w gyro out
1 170431 1000 4.00 0.00 1900
2 170442 1000 4.00 0.13 1862
3 170452 1000 4.00 1.72 1541
4 170463 1000 4.00 3.51 1451
5 170473 1000 4.00 5.13 1266
6 170484 1000 4.00 6.34 1104
7 170494 1000 4.00 7.37 1019
8 170505 1000 4.00 8.17 854
9 170516 1000 4.00 8.90 742
10 170526 1000 4.00 9.45 611
11 170537 1000 4.00 9.46 558
12 170547 1000 4.00 9.21 548
13 170558 1000 4.00 8.92 455
14 170568 1000 4.00 8.67 426
15 170579 1000 4.00 8.60 339
16 170589 1000 4.00 8.35 313
17 170600 1000 4.00 8.10 264
18 170610 1000 4.00 7.60 265
19 170621 1000 4.00 7.16 260
20 170632 1000 4.00 6.55 278
21 170642 1000 4.00 6.08 308
22 170653 1000 4.00 5.74 294
23 170663 1000 4.00 5.29 331
24 170674 1000 4.00 4.98 314
25 170684 1000 4.00 4.66 327
26 170695 1000 4.00 4.51 343
27 170705 1000 4.00 4.34 341
28 170716 1000 4.00 4.24 358
29 170726 1000 4.00 4.23 326
30 170737 1000 4.00 4.17 351
31 170747 1000 4.00 4.18 332
32 170758 1000 4.00 4.08 353
33 170769 1000 4.00 4.03 356
34 170779 1000 4.00 4.03 342
35 170790 1000 4.00 4.03 362
36 170800 1000 4.00 4.06 342
37 170811 1000 4.00 3.98 355
38 170821 1000 4.00 4.03 353
39 170832 1000 4.00 4.13 324
40 170842 1000 4.00 4.10 342
41 170853 1000 4.00 4.17 320
42 170863 1000 4.00 4.09 340
43 170874 1000 4.00 3.97 368
44 170884 1000 4.00 3.76 376
45 170895 1000 4.00 3.58 411
46 170905 1000 4.00 3.54 411
47 170916 1000 4.00 3.42 431
48 170926 1000 4.00 3.23 467
49 170937 1000 4.00 3.13 497
50 170947 1000 4.00 3.09 495
51 170958 1000 4.00 3.10 512
52 170968 1000 4.00 3.06 530
53 170979 1000 4.00 3.15 523
54 170990 1000 4.00 3.17 535
55 171000 1000 4.00 3.18 556
56 171011 1000 4.00 3.36 531
57 171021 1000 4.00 3.63 501
58 171032 1000 4.00 3.79 512
59 171042 1000 4.00 3.91 502
60 171053 1000 4.00 4.06 463
61 171063 1000 4.00 4.16 476
62 171074 1000 4.00 4.26 457
63 171084 1000 4.00 4.21 466
64 171095 1000 4.00 4.24 473
65 171105 1000 4.00 4.15 466
66 171116 1000 4.00 3.95 505
67 171127 1000 4.00 3.85 507
68 171137 1000 4.00 3.78 506
69 171148 1000 4.00 3.88 496
70 171158 1000 4.00 3.83 518
71 171169 1000 4.00 3.69 534
72 171179 1000 4.00 3.64 550
73 171190 1000 4.00 3.64 540
74 171200 1000 4.00 3.52 570
75 171211 1000 4.00 3.57 552
76 171221 1000 4.00 3.57 578
77 171232 1000 4.00 3.60 561
78 171242 1000 4.00 3.64 573
79 171253 1000 4.00 3.86 531
80 171264 1000 4.00 4.02 522
81 171274 1000 4.00 4.20 513
82 171285 1000 4.00 4.36 489
83 171295 1000 4.00 4.42 477
84 171306 1000 4.00 4.51 470
85 171316 1000 4.00 4.52 457
86 171327 1000 4.00 4.43 476
87 171337 1000 4.00 4.38 462
88 171348 1000 4.00 4.32 466
89 171358 1000 4.00 4.11 499
90 171369 1000 4.00 3.92 507
91 171379 1000 4.00 3.84 519
92 171390 1000 4.00 3.82 512
93 171400 1000 4.00 3.74 537
94 171411 1000 4.00 3.69 541
95 171422 1000 4.00 3.64 554
96 171432 1000 4.00 3.54 565
97 171443 1000 4.00 3.56 569
98 171453 1000 4.00 3.58 569
99 171464 1000 4.00 3.68 554
100 171474 1000 4.00 3.83 554
101 171485 1000 4.00 3.93 543
102 171495 1000 4.00 4.03 527
103 171506 1000 4.00 4.25 496
104 171516 1000 4.00 4.38 490
105 171527 1000 4.00 4.42 483
106 171537 1000 4.00 4.47 474
107 171548 1000 4.00 4.48 453
108 171559 1000 4.00 4.38 479
109 171569 1000 4.00 4.25 479
110 171580 1000 4.00 4.20 483
111 171590 1000 4.00 4.17 481
112 171601 1000 4.00 4.07 489
113 171611 1000 4.00 3.92 516
114 171622 1000 4.00 3.87 509
115 171632 1000 4.00 3.81 532
116 171643 1000 4.00 3.76 532
117 171653 1000 4.00 3.72 533
118 171664 1000 4.00 3.61 568
119 171674 1000 4.00 3.54 581
120 171685 1000 4.00 3.49 584
121 171695 1000 4.00 3.51 573
122 171706 1000 4.00 3.75 542
123 171717 1000 4.00 3.91 540
124 171727 1000 4.00 3.98 546
125 171738 1000 4.00 4.16 515
126 171748 1000 4.00 4.34 483
127 171759 1000 4.00 4.42 487
128 171769 1000 4.00 4.46 477
129 171780 1000 4.00 4.52 456
130 171790 1000 4.00 4.52 467
131 171801 1000 4.00 4.32 494
