n t lin w gyro out
1 7935 1000 5.00 0.00 2000
2 7945 1000 5.00 0.06 1979
3 7956 1000 5.00 1.06 1805
4 7966 1000 5.00 2.91 1583
5 7977 1000 5.00 4.53 1423
6 7987 1000 5.00 6.02 1283
7 7998 1000 5.00 7.31 1099
8 8008 1000 5.00 8.40 1015
9 8019 1000 5.00 9.13 873
10 8030 1000 5.00 9.79 760
11 8040 1000 5.00 10.31 630
12 8051 1000 5.00 10.15 619
13 8061 1000 5.00 9.62 635
14 8072 1000 5.00 9.08 591
15 8082 1000 5.00 8.71 565
16 8093 1000 5.00 8.62 491
17 8103 1000 5.00 8.62 449
18 8114 1000 5.00 8.48 408
19 8124 1000 5.00 8.18 392
20 8135 1000 5.00 7.94 369
21 8145 1000 5.00 7.54 368
22 8156 1000 5.00 7.12 394
23 8167 1000 5.00 6.77 381
24 8177 1000 5.00 6.49 372
25 8188 1000 5.00 6.15 391
26 8198 1000 5.00 5.87 411
27 8209 1000 5.00 5.56 436
28 8219 1000 5.00 5.41 430
29 8230 1000 5.00 5.25 434
30 8240 1000 5.00 5.05 457
31 8251 1000 5.00 4.86 487
32 8261 1000 5.00 4.78 476
33 8272 1000 5.00 4.69 506
34 8282 1000 5.00 4.62 505
35 8293 1000 5.00 4.40 549
36 8303 1000 5.00 4.38 549
37 8314 1000 5.00 4.24 573
38 8324 1000 5.00 4.24 588
39 8335 1000 5.00 4.31 573
40 8346 1000 5.00 4.46 574
41 8356 1000 5.00 4.68 549
42 8367 1000 5.00 4.74 565
43 8377 1000 5.00 4.85 548
44 8388 1000 5.00 4.93 539
45 8398 1000 5.00 5.04 539
46 8409 1000 5.00 5.08 523
47 8419 1000 5.00 5.15 528
48 8430 1000 5.00 5.11 531
49 8440 1000 5.00 4.94 568
50 8451 1000 5.00 4.79 563
51 8461 1000 5.00 4.62 602
52 8472 1000 5.00 4.57 590
53 8482 1000 5.00 4.60 603
54 8493 1000 5.00 4.51 624
55 8503 1000 5.00 4.49 622
56 8514 1000 5.00 4.45 643
57 8524 1000 5.00 4.45 644
58 8535 1000 5.00 4.36 675
59 8545 1000 5.00 4.42 664
60 8556 1000 5.00 4.48 661
61 8566 1000 5.00 4.47 683
62 8577 1000 5.00 4.42 690
63 8588 1000 5.00 4.44 700
64 8598 1000 5.00 4.60 673
65 8609 1000 5.00 4.69 679
66 8619 1000 5.00 4.82 667
67 8630 1000 5.00 5.07 635
68 8640 1000 5.00 5.24 630
69 8651 1000 5.00 5.30 617
70 8661 1000 5.00 5.31 614
71 8672 1000 5.00 5.49 579
72 8682 1000 5.00 5.47 591
73 8693 1000 5.00 5.39 598
74 8703 1000 5.00 5.25 610
75 8714 1000 5.00 5.26 590
76 8724 1000 5.00 5.07 630
77 8735 1000 5.00 4.97 627
78 8745 1000 5.00 4.86 627
79 8756 1000 5.00 4.85 639
80 8766 1000 5.00 4.74 654
81 8777 1000 5.00 4.71 662
82 8787 1000 5.00 4.71 657
83 8798 1000 5.00 4.65 681
84 8808 1000 5.00 4.59 685
85 8819 1000 5.00 4.57 691
86 8830 1000 5.00 4.66 688
87 8840 1000 5.00 4.67 689
88 8851 1000 5.00 4.77 684
89 8861 1000 5.00 4.83 670
90 8872 1000 5.00 4.98 661
91 8882 1000 5.00 5.09 655
92 8893 1000 5.00 5.18 640
93 8903 1000 5.00 5.43 603
94 8914 1000 5.00 5.52 593
95 8924 1000 5.00 5.60 588
96 8935 1000 5.00 5.57 575
97 8945 1000 5.00 5.62 566
98 8956 1000 5.00 5.54 570
99 8966 1000 5.00 5.44 571
100 8977 1000 5.00 5.25 585
101 8987 1000 5.00 5.28 573
102 8998 1000 5.00 5.14 592
103 9008 1000 5.00 5.14 583
104 9019 1000 5.00 4.98 602
105 9030 1000 5.00 4.92 613
106 9040 1000 5.00 4.87 610
107 9051 1000 5.00 4.75 632
108 9061 1000 5.00 4.73 629
109 9072 1000 5.00 4.68 642
110 9082 1000 5.00 4.62 667
111 9093 1000 5.00 4.57 665
112 9104 1000 5.00 4.51 679
113 9114 1000 5.00 4.62 658
114 9125 1000 5.00 4.71 667
115 9135 1000 5.00 4.85 649
116 9146 1000 5.00 5.02 627
117 9156 1000 5.00 5.12 622
118 9167 1000 5.00 5.30 593
119 9178 1000 5.00 5.31 602
120 9188 1000 5.00 5.38 576
121 9199 1000 5.00 5.39 585
122 9209 1000 5.00 5.49 554
123 9220 1000 5.00 5.35 586
124 9230 1000 5.00 5.30 580
125 9241 1000 5.00 5.14 594
126 9251 1000 5.00 5.03 611
127 9262 1000 5.00 4.94 607
128 9273 1000 5.00 5.02 596
129 9283 1000 5.00 4.96 606
130 9294 1000 5.00 4.89 622
131 9304 1000 5.00 4.86 618
132 9315 1000 5.00 4.77 640
133 9325 1000 5.00 4.75 637
134 9336 1000 5.00 4.61 659
135 9347 1000 5.00 4.63 657
136 9357 1000 5.00 4.64 664
137 9368 1000 5.00 4.51 698
138 9378 1000 5.00 4.57 669
139 9389 1000 5.00 4.62 685
140 9400 1000 5.00 4.84 653
141 9410 1000 5.00 4.94 651
142 9421 1000 5.00 5.15 623
143 9431 1000 5.00 5.37 585
144 9442 1000 5.00 5.40 604
145 9452 1000 5.00 5.44 584
146 9463 1000 5.00 5.45 590
147 9473 1000 5.00 5.58 548
148 9484 1000 5.00 5.51 565
149 9495 1000 5.00 5.39 571
150 9505 1000 5.00 5.30 573
151 9516 1000 5.00 5.20 584
152 9526 1000 5.00 4.97 616
153 9537 1000 5.00 4.96 591
154 9547 1000 5.00 4.90 612
155 9558 1000 5.00 4.95 598
156 9569 1000 5.00 4.87 616
157 9579 1000 5.00 4.86 620
158 9590 1000 5.00 4.83 615
159 9600 1000 5.00 4.72 647
160 9611 1000 5.00 4.66 650
161 9622 1000 5.00 4.61 657
162 9632 1000 5.00 4.62 666
163 9643 1000 5.00 4.55 677
164 9653 1000 5.00 4.58 683
165 9664 1000 5.00 4.67 657
166 9674 1000 5.00 4.76 665
167 9685 1000 5.00 4.94 645
168 9696 1000 5.00 5.06 633
169 9706 1000 5.00 5.27 617
170 9717 1000 5.00 5.39 591
171 9727 1000 5.00 5.45 591
172 9738 1000 5.00 5.46 571
173 9748 1000 5.00 5.45 582
174 9759 1000 5.00 5.40 575
175 9769 1000 5.00 5.26 596
176 9780 1000 5.00 5.18 584
177 9791 1000 5.00 5.10 607
178 9801 1000 5.00 5.02 599
179 9812 1000 5.00 4.82 633
180 9822 1000 5.00 4.83 619
181 9833 1000 5.00 4.75 638
182 9843 1000 5.00 4.76 638
183 9854 1000 5.00 4.68 654
184 9865 1000 5.00 4.71 656
185 9875 1000 5.00 4.69 657
186 9886 1000 5.00 4.58 683
187 9896 1000 5.00 4.58 677
188 9907 1000 5.00 4.53 696
189 9918 1000 5.00 4.66 679
190 9928 1000 5.00 4.66 694
191 9939 1000 5.00 4.68 696
192 9949 1000 5.00 4.84 666
193 9960 1000 5.00 4.94 670
194 9971 1000 5.00 5.16 639
195 9981 1000 5.00 5.25 632
196 9992 1000 5.00 5.43 606
197 10002 1000 5.00 5.47 601
198 10013 1000 5.00 5.55 594
199 10023 1000 5.00 5.45 596
200 10034 1000 5.00 5.41 595
