n t lin w gyro out
1 936949 1000 10.00 1.20 2080
2 936959 1000 10.00 1.29 2055
3 936970 1000 10.00 2.63 1742
4 936981 1000 10.00 4.89 1576
5 936991 1000 10.00 6.82 1350
6 937002 1000 10.00 8.11 1325
7 937012 1000 10.00 8.96 1215
8 937023 1000 10.00 9.62 1186
9 937033 1000 10.00 10.29 1135
10 937044 1000 10.00 10.69 1080
11 937054 1000 10.00 10.98 1061
12 937065 1000 10.00 11.28 1003
13 937076 1000 10.00 11.41 985
14 937086 1000 10.00 11.47 963
15 937097 1000 10.00 11.37 961
16 937107 1000 10.00 11.15 977
17 937118 1000 10.00 10.87 978
18 937128 1000 10.00 10.81 964
19 937139 1000 10.00 10.86 937
20 937149 1000 10.00 10.96 908
21 937160 1000 10.00 11.13 876
22 937170 1000 10.00 11.27 839
23 937181 1000 10.00 11.41 808
24 937191 1000 10.00 11.49 778
25 937202 1000 10.00 11.55 749
26 937212 1000 10.00 11.63 718
27 937223 1000 10.00 11.66 688
28 937233 1000 10.00 11.68 660
29 937244 1000 10.00 11.69 634
30 937254 1000 10.00 11.76 594
31 937265 1000 10.00 11.81 564
32 937275 1000 10.00 11.82 535
33 937286 1000 10.00 11.82 511
34 937296 1000 10.00 11.86 472
35 937307 1000 10.00 11.78 461
36 937318 1000 10.00 11.50 482
37 937328 1000 10.00 11.22 495
38 937339 1000 10.00 11.09 469
39 937349 1000 10.00 10.65 528
40 937360 1000 10.00 10.20 559
41 937370 1000 10.00 9.94 574
42 937381 1000 10.00 9.74 595
43 937391 1000 10.00 9.55 628
44 937402 1000 10.00 9.28 660
45 937412 1000 10.00 9.10 686
46 937423 1000 10.00 8.89 728
47 937433 1000 10.00 8.78 744
48 937444 1000 10.00 8.80 758
49 937454 1000 10.00 8.81 775
50 937465 1000 10.00 8.81 799
51 937475 1000 10.00 8.80 818
52 937486 1000 10.00 8.76 840
53 937496 1000 10.00 8.66 887
54 937507 1000 10.00 7.23 1066
55 937517 1000 10.00 5.52 1309
56 937528 1000 10.00 6.06 1275
57 937538 1000 10.00 5.49 1461
58 937549 1000 10.00 4.86 1617
59 937559 1000 10.00 4.43 1719
60 937570 1000 10.00 4.37 1762
61 937580 1000 10.00 4.21 1789
62 937591 1000 10.00 3.96 1821
63 937601 1000 10.00 3.68 1854
64 937612 1000 10.00 3.36 1889
65 937622 1000 10.00 3.01 1923
66 937633 1000 10.00 2.77 1938
67 937644 1000 10.00 2.56 1957
68 937654 1000 10.00 2.55 1946
69 937665 1000 10.00 2.59 1933
70 937675 1000 10.00 2.62 1951
71 937686 1000 10.00 2.97 1866
72 937696 1000 10.00 2.87 1928
73 937707 1000 10.00 2.35 1790
74 937717 1000 10.00 1.83 2067
75 937728 1000 10.00 1.90 2072
76 937738 1000 10.00 2.45 1795
77 937749 1000 10.00 3.61 1788
78 937759 1000 10.00 3.56 1886
79 937770 1000 10.00 4.66 1750
80 937780 1000 10.00 7.19 1287
81 937791 1000 10.00 9.66 1062
82 937801 1000 10.00 11.00 1003
83 937812 1000 10.00 11.82 918
84 937823 1000 10.00 12.35 867
85 937833 1000 10.00 12.59 844
86 937844 1000 10.00 12.02 890
87 937854 1000 10.00 11.67 890
88 937865 1000 10.00 11.12 933
89 937875 1000 10.00 10.71 951
90 937886 1000 10.00 10.31 981
91 937896 1000 10.00 10.17 972
92 937907 1000 10.00 10.26 943
93 937917 1000 10.00 11.20 816
94 937928 1000 10.00 10.13 1034
95 937938 1000 10.00 9.00 1106
96 937949 1000 10.00 10.02 941
97 937959 1000 10.00 10.31 913
98 937970 1000 10.00 10.22 955
99 937980 1000 10.00 10.08 967
100 937991 1000 10.00 9.92 993
101 938001 1000 10.00 9.56 1032
102 938012 1000 10.00 9.24 1109
103 938022 1000 10.00 8.88 1150
104 938033 1000 10.00 4.37 1868
105 938044 1000 10.00 3.55 1807
106 938054 1000 10.00 3.36 1867
107 938065 1000 10.00 3.40 1856
108 938075 1000 10.00 3.27 1890
109 938086 1000 10.00 3.12 1899
110 938096 1000 10.00 2.80 1954
111 938107 1000 10.00 2.53 1962
112 938117 1000 10.00 2.35 1972
113 938128 1000 10.00 2.58 1922
114 938138 1000 10.00 3.12 1835
115 938149 1000 10.00 3.55 1807
116 938159 1000 10.00 4.12 1743
117 938170 1000 10.00 5.12 1581
118 938180 1000 10.00 7.36 1298
119 938191 1000 10.00 8.78 1228
120 938202 1000 10.00 9.45 1217
121 938212 1000 10.00 10.40 1083
122 938223 1000 10.00 11.32 994
123 938233 1000 10.00 12.09 876
124 938244 1000 10.00 12.56 830
125 938254 1000 10.00 12.58 842
126 938265 1000 10.00 12.23 857
127 938275 1000 10.00 11.19 957
128 938286 1000 10.00 10.86 932
129 938296 1000 10.00 10.54 961
130 938307 1000 10.00 10.22 975
131 938317 1000 10.00 10.28 945
132 938328 1000 10.00 10.43 909
133 938339 1000 10.00 10.57 877
134 938349 1000 10.00 10.78 850
135 938360 1000 10.00 11.09 806
136 938370 1000 10.00 11.28 773
137 938381 1000 10.00 11.40 746
138 938391 1000 10.00 11.20 785
139 938402 1000 10.00 10.83 792
140 938412 1000 10.00 10.63 757
141 938423 1000 10.00 10.39 807
142 938433 1000 10.00 10.41 792
143 938444 1000 10.00 10.51 761
144 938454 1000 10.00 10.52 767
145 938465 1000 10.00 10.47 764
146 938475 1000 10.00 10.54 747
147 938486 1000 10.00 10.57 737
148 938496 1000 10.00 10.56 733
149 938507 1000 10.00 10.49 740
150 938517 1000 10.00 10.53 714
151 938528 1000 10.00 10.56 700
152 938538 1000 10.00 10.56 700
153 938549 1000 10.00 10.50 696
154 938559 1000 10.00 10.51 681
155 938570 1000 10.00 10.50 682
156 938580 1000 10.00 10.51 670
157 938591 1000 10.00 10.48 670
158 938601 1000 10.00 10.42 665
159 938612 1000 10.00 10.45 651
160 938623 1000 10.00 10.44 647
161 938633 1000 10.00 8.67 1277
162 938644 1000 10.00 1.04 1945
163 938654 1000 10.00 -0.76 2118
164 938665 1000 10.00 0.42 1946
165 938675 1000 10.00 2.24 1832
166 938686 1000 10.00 3.61 1766
167 938696 1000 10.00 3.87 1720
168 938707 1000 10.00 4.70 1682
169 938717 1000 10.00 5.36 1610
170 938728 1000 10.00 6.02 1530
171 938738 1000 10.00 6.61 1497
172 938749 1000 10.00 7.17 1429
173 938760 1000 10.00 7.89 1381
174 938770 1000 10.00 8.52 1318
175 938781 1000 10.00 9.37 1172
176 938791 1000 10.00 10.55 1045
177 938802 1000 10.00 11.59 968
178 938812 1000 10.00 12.41 826
179 938823 1000 10.00 12.76 806
180 938833 1000 10.00 12.72 805
181 938844 1000 10.00 12.38 806
182 938854 1000 10.00 11.96 817
183 938865 1000 10.00 11.43 857
184 938875 1000 10.00 11.12 840
185 938886 1000 10.00 10.90 845
186 938897 1000 10.00 10.76 843
187 938907 1000 10.00 10.73 831
188 938918 1000 10.00 10.73 809
189 938928 1000 10.00 10.74 801
190 938939 1000 10.00 10.81 774
191 938949 1000 10.00 11.00 733
192 938960 1000 10.00 11.12 707
193 938970 1000 10.00 11.22 684
194 938981 1000 10.00 11.33 649
195 938991 1000 10.00 11.47 614
196 939002 1000 10.00 11.60 574
197 939012 1000 10.00 11.64 552
198 939023 1000 10.00 11.60 540
199 939033 1000 10.00 11.50 525
200 939044 1000 10.00 11.31 529
