n t lin w gyro out
1 253702 0 5.00 0.00 2000
2 253712 0 5.00 0.05 1982
3 253723 0 5.00 0.82 1851
4 253733 0 5.00 2.64 1587
5 253744 0 5.00 4.84 1366
6 253754 0 5.00 6.52 1206
7 253765 0 5.00 8.17 985
8 253775 0 5.00 9.04 947
9 253786 0 5.00 9.59 805
10 253797 0 5.00 10.04 704
11 253807 0 5.00 10.35 586
12 253818 0 5.00 10.62 488
13 253828 0 5.00 10.66 414
14 253839 0 5.00 10.79 293
15 253849 0 5.00 10.78 226
16 253860 0 5.00 10.75 125
17 253870 0 5.00 10.70 43
18 253881 0 5.00 10.67 -47
19 253891 0 5.00 10.68 -132
20 253902 0 5.00 10.34 -137
21 253913 0 5.00 8.77 -4
22 253923 0 5.00 6.94 202
23 253934 0 5.00 6.01 155
24 253944 0 5.00 5.60 173
25 253955 0 5.00 6.16 22
26 253965 0 5.00 6.36 35
27 253976 0 5.00 6.27 31
28 253986 0 5.00 6.38 -26
29 253997 0 5.00 6.37 -23
30 254007 0 5.00 6.12 1
31 254018 0 5.00 5.24 150
32 254028 0 5.00 3.78 293
33 254039 0 5.00 3.27 316
34 254050 0 5.00 3.55 232
35 254060 0 5.00 4.16 217
36 254071 0 5.00 4.44 202
37 254081 0 5.00 4.57 214
38 254092 0 5.00 4.81 180
39 254102 0 5.00 4.78 204
40 254113 0 5.00 4.90 188
41 254123 0 5.00 4.87 202
42 254134 0 5.00 4.93 179
43 254144 0 5.00 4.82 211
44 254155 0 5.00 4.78 223
45 254165 0 5.00 4.90 202
46 254176 0 5.00 4.79 220
47 254186 0 5.00 4.89 202
48 254197 0 5.00 4.89 219
49 254207 0 5.00 4.94 208
50 254218 0 5.00 4.91 206
51 254228 0 5.00 4.96 209
52 254239 0 5.00 4.98 202
53 254250 0 5.00 4.93 214
54 254260 0 5.00 4.99 212
55 254271 0 5.00 4.94 208
56 254281 0 5.00 4.92 221
57 254292 0 5.00 4.96 210
58 254302 0 5.00 4.90 224
59 254313 0 5.00 4.86 230
60 254323 0 5.00 4.86 224
61 254334 0 5.00 4.86 226
62 254344 0 5.00 4.88 224
