n t lin w gyro out
1 463173 600 3.00 -0.00 600
2 463183 600 3.00 -0.00 600
3 463194 600 3.00 0.30 528
4 463204 600 3.00 1.01 439
5 463215 600 3.00 1.71 373
6 463225 600 3.00 1.84 415
7 463236 600 3.00 2.09 354
8 463246 600 3.00 2.40 347
9 463257 600 3.00 2.79 270
10 463268 600 3.00 3.10 282
11 463278 600 3.00 3.34 239
12 463289 600 3.00 3.48 223
13 463299 600 3.00 3.58 213
14 463310 600 3.00 3.70 196
15 463320 600 3.00 3.78 180
16 463331 600 3.00 3.81 151
17 463341 600 3.00 3.82 155
18 463352 600 3.00 3.86 123
19 463362 600 3.00 3.78 140
20 463373 600 3.00 3.82 109
21 463383 600 3.00 3.70 107
22 463394 600 3.00 3.54 130
23 463404 600 3.00 3.41 126
24 463415 600 3.00 3.39 132
25 463425 600 3.00 3.29 127
26 463436 600 3.00 3.31 115
27 463446 600 3.00 3.27 116
28 463457 600 3.00 3.25 110
29 463468 600 3.00 3.35 88
30 463478 600 3.00 3.35 80
31 463489 600 3.00 3.38 82
32 463499 600 3.00 3.44 75
33 463510 600 3.00 3.50 59
34 463520 600 3.00 3.56 37
35 463531 600 3.00 3.54 36
36 463541 600 3.00 3.65 1
37 463552 600 3.00 3.63 10
38 463562 600 3.00 3.62 4
39 463573 600 3.00 3.52 4
40 463583 600 3.00 3.55 -16
41 463594 600 3.00 3.48 0
42 463604 600 3.00 3.26 23
43 463615 600 3.00 3.01 48
44 463625 600 3.00 2.83 58
45 463636 600 3.00 2.66 82
46 463646 600 3.00 2.57 93
47 463657 600 3.00 2.38 126
48 463667 600 3.00 2.38 123
49 463678 600 3.00 2.31 142
50 463688 600 3.00 2.22 171
51 463699 600 3.00 2.22 178
52 463709 600 3.00 2.12 201
53 463720 600 3.00 2.18 196
54 463730 600 3.00 2.24 207
55 463741 600 3.00 2.28 221
56 463752 600 3.00 2.27 230
57 463762 600 3.00 2.22 247
58 463773 600 3.00 2.48 211
59 463783 600 3.00 2.59 220
60 463794 600 3.00 2.67 220
61 463804 600 3.00 2.89 197
62 463815 600 3.00 2.96 188
63 463825 600 3.00 3.09 190
64 463836 600 3.00 3.22 158
65 463846 600 3.00 3.28 158
66 463857 600 3.00 3.28 153
67 463867 600 3.00 3.24 159
68 463878 600 3.00 3.21 163
69 463888 600 3.00 3.14 169
70 463899 600 3.00 3.01 184
71 463909 600 3.00 2.90 191
72 463920 600 3.00 2.98 171
73 463930 600 3.00 2.91 188
74 463941 600 3.00 2.84 211
75 463951 600 3.00 2.79 207
76 463962 600 3.00 2.61 235
77 463972 600 3.00 2.60 234
78 463983 600 3.00 2.53 252
79 463993 600 3.00 2.52 250
