n t lin w gyro out
1 184198 1000 15.00 -0.00 3000
2 184209 1000 15.00 -0.00 3000
3 184219 1000 15.00 0.61 2820
4 184230 1000 15.00 2.43 2636
5 184240 1000 15.00 4.57 2409
6 184251 1000 15.00 6.57 2134
7 184261 1000 15.00 8.54 2031
8 184272 1000 15.00 10.47 1778
9 184283 1000 15.00 11.89 1725
10 184293 1000 15.00 13.32 1540
11 184304 1000 15.00 14.17 1549
12 184314 1000 15.00 14.71 1492
13 184325 1000 15.00 15.18 1454
14 184335 1000 15.00 15.45 1426
15 184346 1000 15.00 15.71 1396
16 184356 1000 15.00 15.92 1351
17 184367 1000 15.00 16.08 1337
18 184377 1000 15.00 16.16 1305
19 184388 1000 15.00 16.20 1299
20 184398 1000 15.00 16.31 1250
21 184409 1000 15.00 16.39 1237
22 184419 1000 15.00 16.42 1205
23 184430 1000 15.00 16.38 1201
24 184440 1000 15.00 16.46 1153
25 184451 1000 15.00 16.50 1134
26 184461 1000 15.00 16.54 1104
27 184472 1000 15.00 16.48 1096
28 184483 1000 15.00 16.51 1055
29 184493 1000 15.00 16.49 1048
30 184504 1000 15.00 16.32 1049
31 184514 1000 15.00 16.27 1026
32 184525 1000 15.00 16.23 1007
33 184535 1000 15.00 16.17 994
34 184546 1000 15.00 16.05 996
35 184556 1000 15.00 15.88 1005
36 184567 1000 15.00 15.72 1002
37 184577 1000 15.00 15.51 1027
38 184588 1000 15.00 15.10 1075
39 184598 1000 15.00 14.64 1126
40 184609 1000 15.00 14.23 1172
41 184619 1000 15.00 14.13 1152
42 184630 1000 15.00 14.18 1179
43 184640 1000 15.00 14.13 1201
44 184651 1000 15.00 14.05 1227
45 184661 1000 15.00 13.99 1239
46 184672 1000 15.00 13.90 1267
47 184682 1000 15.00 13.80 1302
48 184693 1000 15.00 13.78 1311
49 184703 1000 15.00 13.80 1323
50 184714 1000 15.00 13.81 1352
51 184724 1000 15.00 13.87 1355
52 184735 1000 15.00 13.93 1364
53 184745 1000 15.00 14.04 1367
54 184756 1000 15.00 14.14 1376
55 184767 1000 15.00 14.26 1371
56 184777 1000 15.00 14.45 1355
57 184788 1000 15.00 14.64 1350
58 184798 1000 15.00 14.71 1353
59 184809 1000 15.00 14.80 1339
60 184819 1000 15.00 14.98 1319
61 184830 1000 15.00 15.05 1317
62 184840 1000 15.00 15.09 1316
63 184851 1000 15.00 15.11 1316
64 184861 1000 15.00 15.19 1301
65 184872 1000 15.00 15.32 1268
66 184882 1000 15.00 15.33 1290
67 184893 1000 15.00 15.38 1251
68 184903 1000 15.00 15.50 1250
69 184914 1000 15.00 15.50 1250
70 184924 1000 15.00 15.57 1225
71 184935 1000 15.00 15.58 1220
72 184945 1000 15.00 15.61 1210
73 184956 1000 15.00 15.61 1204
74 184966 1000 15.00 15.56 1199
75 184977 1000 15.00 15.61 1181
76 184987 1000 15.00 15.62 1173
77 184998 1000 15.00 15.59 1165
78 185008 1000 15.00 15.46 1180
79 185019 1000 15.00 15.30 1187
80 185030 1000 15.00 15.19 1195
81 185040 1000 15.00 15.00 1223
82 185051 1000 15.00 14.81 1231
83 185061 1000 15.00 14.74 1250
84 185072 1000 15.00 14.62 1266
85 185082 1000 15.00 14.50 1290
86 185093 1000 15.00 14.43 1293
87 185103 1000 15.00 14.43 1299
88 185114 1000 15.00 14.40 1306
89 185124 1000 15.00 14.44 1311
90 185135 1000 15.00 14.40 1332
91 185145 1000 15.00 14.41 1336
92 185156 1000 15.00 14.49 1331
93 185166 1000 15.00 14.53 1341
94 185177 1000 15.00 14.56 1331
95 185187 1000 15.00 14.74 1318
96 185198 1000 15.00 14.80 1325
97 185208 1000 15.00 14.87 1317
98 185219 1000 15.00 14.95 1309
99 185230 1000 15.00 15.07 1298
100 185240 1000 15.00 15.15 1292
