n t lin w gyro out
1 87794 1000 20.00 -0.00 2300
2 87804 1000 20.00 -0.00 2300
3 87815 1000 20.00 0.59 2158
4 87825 1000 20.00 1.91 2000
5 87836 1000 20.00 3.56 1761
6 87846 1000 20.00 5.13 1697
7 87857 1000 20.00 6.90 1442
8 87868 1000 20.00 8.41 1370
9 87878 1000 20.00 9.96 1199
10 87889 1000 20.00 11.25 1085
11 87899 1000 20.00 11.95 1082
12 87910 1000 20.00 12.21 1063
13 87920 1000 20.00 12.56 1009
14 87931 1000 20.00 12.99 965
15 87941 1000 20.00 13.25 961
16 87952 1000 20.00 13.39 955
17 87962 1000 20.00 13.02 1026
18 87973 1000 20.00 12.40 1119
19 87984 1000 20.00 12.17 1092
20 87994 1000 20.00 12.15 1088
21 88005 1000 20.00 12.17 1081
22 88015 1000 20.00 12.53 997
23 88026 1000 20.00 12.74 1007
24 88036 1000 20.00 12.92 993
25 88047 1000 20.00 12.98 1000
26 88057 1000 20.00 12.95 1009
27 88068 1000 20.00 12.87 1019
28 88078 1000 20.00 12.56 1061
29 88089 1000 20.00 12.30 1096
30 88100 1000 20.00 12.14 1083
31 88110 1000 20.00 12.34 1056
32 88121 1000 20.00 12.44 1046
33 88131 1000 20.00 12.36 1073
34 88142 1000 20.00 12.26 1081
35 88152 1000 20.00 12.06 1110
36 88163 1000 20.00 12.03 1095
37 88173 1000 20.00 11.95 1115
38 88184 1000 20.00 11.88 1119
39 88194 1000 20.00 11.84 1114
40 88205 1000 20.00 11.83 1119
41 88216 1000 20.00 11.80 1121
42 88226 1000 20.00 11.75 1127
43 88237 1000 20.00 11.67 1140
44 88247 1000 20.00 11.65 1136
45 88258 1000 20.00 11.61 1139
46 88268 1000 20.00 11.59 1145
47 88279 1000 20.00 11.50 1157
48 88289 1000 20.00 11.48 1152
49 88300 1000 20.00 11.51 1146
50 88310 1000 20.00 11.50 1148
51 88321 1000 20.00 11.41 1164
52 88331 1000 20.00 11.52 1140
53 88342 1000 20.00 11.55 1140
54 88353 1000 20.00 11.51 1152
55 88363 1000 20.00 11.51 1149
56 88374 1000 20.00 11.48 1151
57 88384 1000 20.00 11.55 1140
58 88395 1000 20.00 11.54 1149
59 88405 1000 20.00 11.50 1152
60 88416 1000 20.00 11.51 1149
61 88426 1000 20.00 11.57 1138
62 88437 1000 20.00 11.57 1147
63 88447 1000 20.00 11.56 1146
64 88458 1000 20.00 11.60 1133
65 88469 1000 20.00 11.66 1133
66 88479 1000 20.00 11.66 1133
67 88490 1000 20.00 11.68 1132
68 88500 1000 20.00 11.69 1126
69 88511 1000 20.00 11.74 1122
70 88521 1000 20.00 11.73 1123
71 88532 1000 20.00 11.75 1128
72 88542 1000 20.00 11.81 1111
73 88553 1000 20.00 11.90 1102
74 88563 1000 20.00 11.99 1098
75 88574 1000 20.00 11.92 1115
76 88585 1000 20.00 11.93 1104
77 88595 1000 20.00 12.07 1080
78 88606 1000 20.00 12.08 1092
79 88616 1000 20.00 12.08 1088
80 88627 1000 20.00 12.20 1071
81 88637 1000 20.00 12.28 1068
82 88648 1000 20.00 12.35 1058
83 88658 1000 20.00 12.35 1066
84 88669 1000 20.00 12.43 1040
85 88679 1000 20.00 12.48 1049
86 88690 1000 20.00 12.49 1055
87 88700 1000 20.00 12.55 1044
88 88711 1000 20.00 12.55 1044
89 88722 1000 20.00 12.61 1035
90 88732 1000 20.00 12.60 1049
91 88743 1000 20.00 12.61 1036
92 88753 1000 20.00 12.60 1036
93 88764 1000 20.00 12.69 1024
94 88774 1000 20.00 12.72 1032
95 88785 1000 20.00 12.72 1025
96 88795 1000 20.00 12.77 1020
97 88806 1000 20.00 12.84 1005
98 88816 1000 20.00 12.91 1011
99 88827 1000 20.00 12.83 1026
100 88837 1000 20.00 12.79 1018
101 88848 1000 20.00 12.80 1019
102 88858 1000 20.00 12.87 1009
103 88869 1000 20.00 12.82 1023
104 88879 1000 20.00 12.83 1015
105 88890 1000 20.00 12.84 1012
106 88901 1000 20.00 12.87 1013
107 88911 1000 20.00 12.74 1036
108 88922 1000 20.00 12.86 1003
109 88932 1000 20.00 12.84 1018
110 88943 1000 20.00 12.84 1016
111 88953 1000 20.00 12.79 1027
112 88964 1000 20.00 12.83 1015
113 88974 1000 20.00 12.86 1014
114 88985 1000 20.00 12.89 1012
115 88995 1000 20.00 12.82 1028
116 89006 1000 20.00 12.85 1009
117 89016 1000 20.00 12.84 1019
118 89027 1000 20.00 12.91 1007
119 89037 1000 20.00 12.86 1019
120 89048 1000 20.00 12.84 1012
121 89058 1000 20.00 12.87 1011
122 89069 1000 20.00 12.95 1003
123 89079 1000 20.00 12.87 1020
124 89090 1000 20.00 12.77 1028
125 89100 1000 20.00 12.82 1007
126 89111 1000 20.00 12.77 1034
127 89121 1000 20.00 12.60 1046
128 89132 1000 20.00 12.55 1053
129 89142 1000 20.00 12.41 1068
130 89153 1000 20.00 12.33 1077
131 89163 1000 20.00 12.13 1097
132 89174 1000 20.00 12.01 1107
133 89185 1000 20.00 11.93 1112
134 89195 1000 20.00 11.82 1125
135 89206 1000 20.00 11.68 1141
136 89216 1000 20.00 11.72 1120
137 89227 1000 20.00 11.68 1136
138 89237 1000 20.00 11.64 1139
139 89248 1000 20.00 11.56 1150
140 89258 1000 20.00 11.57 1137
141 89269 1000 20.00 11.61 1140
142 89279 1000 20.00 11.57 1146
143 89290 1000 20.00 11.50 1160
144 89300 1000 20.00 11.47 1149
145 89311 1000 20.00 11.50 1144
146 89321 1000 20.00 11.46 1154
147 89332 1000 20.00 11.40 1166
148 89342 1000 20.00 11.36 1165
149 89353 1000 20.00 11.43 1146
150 89363 1000 20.00 11.42 1156
151 89374 1000 20.00 11.36 1172
152 89384 1000 20.00 11.36 1159
153 89395 1000 20.00 11.41 1154
154 89406 1000 20.00 11.41 1163
155 89416 1000 20.00 11.39 1163
156 89427 1000 20.00 11.40 1155
157 89437 1000 20.00 11.46 1149
158 89448 1000 20.00 11.50 1146
159 89458 1000 20.00 11.51 1150
160 89469 1000 20.00 11.50 1147
161 89479 1000 20.00 11.58 1132
162 89490 1000 20.00 11.61 1136
163 89500 1000 20.00 11.60 1142
164 89511 1000 20.00 11.56 1144
165 89521 1000 20.00 11.62 1125
166 89532 1000 20.00 11.63 1133
167 89542 1000 20.00 11.60 1147
168 89553 1000 20.00 11.58 1136
169 89563 1000 20.00 11.65 1122
170 89574 1000 20.00 11.67 1127
171 89584 1000 20.00 11.71 1133
172 89595 1000 20.00 11.73 1115
173 89606 1000 20.00 11.86 1108
174 89616 1000 20.00 11.92 1102
175 89627 1000 20.00 11.95 1103
176 89637 1000 20.00 11.95 1104
177 89648 1000 20.00 12.04 1086
178 89658 1000 20.00 12.09 1090
179 89669 1000 20.00 12.05 1098
180 89679 1000 20.00 12.10 1081
181 89690 1000 20.00 12.20 1074
182 89700 1000 20.00 12.24 1069
183 89711 1000 20.00 12.28 1074
184 89721 1000 20.00 12.24 1074
185 89732 1000 20.00 12.41 1053
186 89742 1000 20.00 12.43 1061
187 89753 1000 20.00 12.50 1044
188 89763 1000 20.00 12.51 1044
189 89774 1000 20.00 12.55 1041
190 89784 1000 20.00 12.65 1032
