n t lin w gyro out
1 443743 1000 10.00 1.20 2080
2 443753 1000 10.00 1.30 2043
3 443764 1000 10.00 2.46 1794
4 443774 1000 10.00 4.54 1614
5 443785 1000 10.00 6.72 1345
6 443796 1000 10.00 8.25 1298
7 443806 1000 10.00 9.41 1161
8 443817 1000 10.00 10.25 1119
9 443827 1000 10.00 10.96 1029
10 443838 1000 10.00 11.48 985
11 443848 1000 10.00 12.09 880
12 443859 1000 10.00 12.39 842
13 443869 1000 10.00 12.06 881
14 443880 1000 10.00 11.40 964
15 443891 1000 10.00 10.76 982
16 443901 1000 10.00 10.38 999
17 443912 1000 10.00 10.40 962
18 443922 1000 10.00 10.54 935
19 443933 1000 10.00 10.83 887
20 443943 1000 10.00 11.11 839
21 443954 1000 10.00 11.26 817
22 443964 1000 10.00 11.34 792
23 443975 1000 10.00 11.47 747
24 443986 1000 10.00 11.64 710
25 443996 1000 10.00 11.73 681
26 444007 1000 10.00 11.77 653
27 444017 1000 10.00 11.77 622
28 444028 1000 10.00 11.73 608
29 444038 1000 10.00 11.56 611
30 444049 1000 10.00 11.42 605
31 444059 1000 10.00 11.21 595
32 444070 1000 10.00 11.10 582
33 444080 1000 10.00 10.96 588
34 444091 1000 10.00 10.82 594
35 444102 1000 10.00 10.69 578
36 444112 1000 10.00 10.59 587
37 444123 1000 10.00 10.46 598
38 444133 1000 10.00 10.36 593
39 444144 1000 10.00 10.31 588
40 444154 1000 10.00 10.22 594
41 444165 1000 10.00 10.17 596
42 444175 1000 10.00 10.02 619
43 444186 1000 10.00 9.97 616
44 444196 1000 10.00 9.95 615
45 444207 1000 10.00 9.95 621
46 444218 1000 10.00 9.88 628
47 444228 1000 10.00 9.90 630
48 444239 1000 10.00 9.89 624
49 444249 1000 10.00 9.85 647
50 444260 1000 10.00 9.83 639
51 444270 1000 10.00 9.79 657
52 444281 1000 10.00 9.82 639
53 444291 1000 10.00 9.71 665
54 444302 1000 10.00 9.72 667
55 444312 1000 10.00 9.73 662
56 444323 1000 10.00 9.68 698
57 444333 1000 10.00 9.64 688
58 444344 1000 10.00 9.36 736
59 444355 1000 10.00 9.36 739
60 444365 1000 10.00 9.21 767
61 444376 1000 10.00 9.07 795
62 444386 1000 10.00 8.99 820
63 444397 1000 10.00 9.06 814
64 444407 1000 10.00 8.99 845
65 444418 1000 10.00 8.90 871
66 444428 1000 10.00 8.92 886
67 444439 1000 10.00 8.94 902
68 444449 1000 10.00 8.90 923
69 444460 1000 10.00 8.84 942
70 444470 1000 10.00 8.83 961
71 444481 1000 10.00 8.82 985
72 444491 1000 10.00 8.81 1007
73 444502 1000 10.00 8.79 1024
