n t lin w gyro out
1 214206 0 10.00 0.00 1300
2 214216 0 10.00 -0.01 1300
3 214227 0 10.00 0.33 1217
4 214237 0 10.00 1.79 963
5 214248 0 10.00 3.28 852
6 214258 0 10.00 4.69 750
7 214269 0 10.00 5.41 707
8 214279 0 10.00 6.05 655
9 214290 0 10.00 6.44 621
10 214301 0 10.00 6.87 584
11 214311 0 10.00 7.31 534
12 214322 0 10.00 7.60 519
13 214332 0 10.00 7.90 479
14 214343 0 10.00 8.20 454
15 214353 0 10.00 8.33 458
16 214364 0 10.00 8.53 432
17 214375 0 10.00 8.70 419
18 214385 0 10.00 8.81 416
19 214396 0 10.00 8.96 390
20 214406 0 10.00 9.08 386
21 214417 0 10.00 9.18 376
22 214427 0 10.00 9.32 364
23 214438 0 10.00 9.40 353
24 214448 0 10.00 9.50 340
25 214459 0 10.00 9.64 332
26 214469 0 10.00 9.70 323
27 214480 0 10.00 9.88 300
28 214491 0 10.00 9.93 305
29 214501 0 10.00 10.02 277
30 214512 0 10.00 10.09 288
31 214522 0 10.00 10.10 284
32 214533 0 10.00 10.23 265
33 214543 0 10.00 10.10 297
34 214554 0 10.00 10.05 292
35 214564 0 10.00 9.94 313
36 214575 0 10.00 9.83 318
37 214585 0 10.00 9.85 316
38 214596 0 10.00 9.77 333
39 214606 0 10.00 9.70 334
40 214617 0 10.00 9.72 330
41 214628 0 10.00 9.65 338
42 214638 0 10.00 9.64 336
43 214649 0 10.00 9.65 335
44 214659 0 10.00 9.68 318
45 214670 0 10.00 9.71 331
46 214680 0 10.00 9.73 318
47 214691 0 10.00 9.72 326
48 214701 0 10.00 9.79 307
49 214712 0 10.00 9.82 317
50 214722 0 10.00 9.79 318
51 214733 0 10.00 9.85 313
52 214743 0 10.00 9.90 310
53 214754 0 10.00 9.90 313
54 214764 0 10.00 10.02 287
55 214775 0 10.00 10.12 287
56 214786 0 10.00 10.09 287
57 214796 0 10.00 10.19 270
58 214807 0 10.00 10.18 273
59 214817 0 10.00 10.27 253
60 214828 0 10.00 10.28 255
61 214838 0 10.00 10.25 254
62 214849 0 10.00 10.32 238
63 214859 0 10.00 10.26 247
64 214870 0 10.00 10.26 233
65 214880 0 10.00 10.32 220
66 214891 0 10.00 10.30 230
67 214901 0 10.00 10.34 207
68 214912 0 10.00 10.38 206
69 214923 0 10.00 10.28 221
70 214933 0 10.00 10.28 205
71 214944 0 10.00 10.17 229
72 214954 0 10.00 9.97 239
73 214965 0 10.00 9.91 247
74 214975 0 10.00 9.76 276
75 214986 0 10.00 9.67 274
76 214996 0 10.00 9.60 300
77 215007 0 10.00 9.49 321
78 215017 0 10.00 9.46 317
79 215028 0 10.00 9.40 331
80 215039 0 10.00 9.40 339
81 215049 0 10.00 9.42 352
82 215060 0 10.00 9.44 358
83 215070 0 10.00 9.47 352
84 215081 0 10.00 9.45 348
85 215091 0 10.00 9.50 344
86 215102 0 10.00 9.55 345
87 215112 0 10.00 9.62 334
88 215123 0 10.00 9.64 340
89 215133 0 10.00 9.74 318
90 215144 0 10.00 9.76 325
91 215154 0 10.00 9.77 316
92 215165 0 10.00 9.79 322
93 215176 0 10.00 9.79 321
94 215186 0 10.00 9.89 305
95 215197 0 10.00 9.94 305
96 215207 0 10.00 10.02 285
97 215218 0 10.00 10.01 300
98 215228 0 10.00 10.03 281
99 215239 0 10.00 10.05 296
100 215249 0 10.00 10.05 292
