n t lin w gyro out
1 50013 0 20.00 -0.00 3500
2 50024 0 20.00 0.08 3476
3 50034 0 20.00 1.22 3226
4 50045 0 20.00 2.94 3062
5 50055 0 20.00 5.01 2856
6 50066 0 20.00 6.38 2767
7 50077 0 20.00 8.44 2485
8 50087 0 20.00 10.08 2383
9 50098 0 20.00 11.85 2179
10 50108 0 20.00 13.29 2061
11 50119 0 20.00 14.49 1970
12 50129 0 20.00 15.57 1861
13 50140 0 20.00 16.39 1804
14 50151 0 20.00 17.19 1725
15 50161 0 20.00 17.70 1705
16 50172 0 20.00 18.03 1671
17 50182 0 20.00 18.23 1661
18 50193 0 20.00 18.44 1645
19 50203 0 20.00 18.64 1623
20 50214 0 20.00 18.82 1605
21 50224 0 20.00 18.95 1596
22 50235 0 20.00 19.14 1577
23 50246 0 20.00 19.32 1557
24 50256 0 20.00 19.47 1535
25 50267 0 20.00 19.61 1529
26 50277 0 20.00 19.67 1521
27 50288 0 20.00 19.87 1515
28 50298 0 20.00 19.86 1523
29 50309 0 20.00 19.90 1510
30 50319 0 20.00 20.05 1483
31 50330 0 20.00 20.08 1492
32 50340 0 20.00 20.01 1507
33 50351 0 20.00 19.79 1545
34 50362 0 20.00 19.72 1533
35 50372 0 20.00 19.68 1534
36 50383 0 20.00 19.52 1553
37 50393 0 20.00 19.43 1558
38 50404 0 20.00 19.49 1544
39 50414 0 20.00 19.67 1516
40 50425 0 20.00 19.70 1529
41 50435 0 20.00 19.73 1534
42 50446 0 20.00 19.80 1522
43 50456 0 20.00 19.91 1510
44 50467 0 20.00 20.08 1487
45 50477 0 20.00 20.03 1495
46 50488 0 20.00 20.07 1480
47 50499 0 20.00 20.14 1479
48 50509 0 20.00 20.14 1481
49 50520 0 20.00 20.15 1479
50 50530 0 20.00 19.98 1511
51 50541 0 20.00 19.72 1531
52 50551 0 20.00 19.62 1541
53 50562 0 20.00 19.55 1555
54 50572 0 20.00 19.60 1532
55 50583 0 20.00 19.58 1545
56 50593 0 20.00 19.59 1540
57 50604 0 20.00 19.60 1535
58 50614 0 20.00 19.83 1495
59 50625 0 20.00 19.97 1489
60 50636 0 20.00 20.00 1490
61 50646 0 20.00 19.96 1499
62 50657 0 20.00 19.99 1498
63 50667 0 20.00 20.06 1492
64 50678 0 20.00 20.17 1482
65 50688 0 20.00 20.07 1502
66 50699 0 20.00 19.97 1498
67 50709 0 20.00 19.99 1500
68 50720 0 20.00 19.88 1523
69 50730 0 20.00 19.70 1548
70 50741 0 20.00 19.62 1540
71 50751 0 20.00 19.59 1538
72 50762 0 20.00 19.57 1536
73 50773 0 20.00 19.63 1526
74 50783 0 20.00 19.74 1516
75 50794 0 20.00 19.80 1511
76 50804 0 20.00 19.82 1517
77 50815 0 20.00 19.81 1520
78 50825 0 20.00 19.96 1500
79 50836 0 20.00 20.01 1496
80 50846 0 20.00 19.89 1517
81 50857 0 20.00 19.94 1488
82 50867 0 20.00 20.06 1485
83 50878 0 20.00 20.12 1486
84 50888 0 20.00 19.98 1510
85 50899 0 20.00 19.86 1522
86 50910 0 20.00 19.81 1519
87 50920 0 20.00 19.72 1537
88 50931 0 20.00 19.57 1560
89 50941 0 20.00 19.50 1557
90 50952 0 20.00 19.58 1536
91 50962 0 20.00 19.66 1536
92 50973 0 20.00 19.67 1532
93 50983 0 20.00 19.72 1524
94 50994 0 20.00 19.75 1516
95 51004 0 20.00 19.78 1515
96 51015 0 20.00 19.88 1503
97 51025 0 20.00 19.92 1510
98 51036 0 20.00 19.94 1497
99 51047 0 20.00 19.98 1501
100 51057 0 20.00 19.97 1500
