n t lin w gyro out
152 203911 1000 -4.00 -4.12 -750
153 203921 1000 -4.00 -4.01 -747
154 203932 1000 -4.00 -3.94 -768
155 203942 1000 -4.00 -3.87 -774
156 203953 1000 -4.00 -3.77 -785
157 203963 1000 -4.00 -3.66 -793
158 203974 1000 -4.00 -3.78 -761
159 203984 1000 -4.00 -3.83 -774
160 203995 1000 -4.00 -3.87 -771
161 204005 1000 -4.00 -3.90 -779
162 204016 1000 -4.00 -4.04 -750
163 204026 1000 -4.00 -4.07 -767
164 204037 1000 -4.00 -4.08 -768
165 204047 1000 -4.00 -4.12 -761
166 204058 1000 -4.00 -4.07 -760
167 204068 1000 -4.00 -4.06 -762
168 204079 1000 -4.00 -3.99 -769
169 204089 1000 -4.00 -3.87 -789
170 204100 1000 -4.00 -3.84 -775
171 204110 1000 -4.00 -3.83 -787
172 204121 1000 -4.00 -3.81 -801
173 204131 1000 -4.00 -3.71 -807
174 204142 1000 -4.00 -3.80 -791
175 204152 1000 -4.00 -3.98 -782
176 204163 1000 -4.00 -4.11 -760
177 204173 1000 -4.00 -4.16 -756
178 204184 1000 -4.00 -4.27 -740
179 204194 1000 -4.00 -4.33 -723
180 204205 1000 -4.00 -4.35 -725
181 204215 1000 -4.00 -4.24 -754
182 204226 1000 -4.00 -4.16 -742
183 204236 1000 -4.00 -4.11 -751
184 204247 1000 -4.00 -4.02 -764
185 204257 1000 -4.00 -3.87 -784
186 204268 1000 -4.00 -3.74 -798
187 204278 1000 -4.00 -3.68 -799
188 204289 1000 -4.00 -3.65 -808
189 204299 1000 -4.00 -3.69 -796
190 204310 1000 -4.00 -3.70 -804
191 204320 1000 -4.00 -3.88 -774
192 204331 1000 -4.00 -4.01 -772
193 204341 1000 -4.00 -4.08 -771
194 204352 1000 -4.00 -4.06 -781
195 204362 1000 -4.00 -4.14 -755
196 204373 1000 -4.00 -4.21 -757
197 204383 1000 -4.00 -4.20 -755
198 204394 1000 -4.00 -4.11 -767
199 204404 1000 -4.00 -4.06 -763
200 204415 1000 -4.00 -4.10 -768
