n t lin w gyro out
188 80625 600 10.00 8.14 483
189 80636 600 10.00 8.12 481
190 80646 600 10.00 8.21 474
191 80657 600 10.00 8.20 477
192 80667 600 10.00 8.24 478
193 80678 600 10.00 8.15 488
194 80688 600 10.00 8.13 495
195 80699 600 10.00 8.07 491
196 80709 600 10.00 7.94 528
197 80720 600 10.00 7.85 520
198 80730 600 10.00 7.82 526
199 80741 600 10.00 7.86 505
200 80751 600 10.00 7.76 533
