n t lin w gyro out
1 176191 300 10.00 0.00 1300
2 176201 300 10.00 0.02 1293
3 176212 300 10.00 0.64 1179
4 176222 300 10.00 1.65 1037
5 176233 300 10.00 2.84 898
6 176243 300 10.00 3.86 857
7 176254 300 10.00 4.76 736
8 176265 300 10.00 5.73 665
9 176275 300 10.00 6.70 542
10 176286 300 10.00 7.27 546
11 176296 300 10.00 7.61 514
12 176307 300 10.00 7.72 537
13 176317 300 10.00 7.26 614
14 176328 300 10.00 6.93 624
15 176338 300 10.00 7.02 576
16 176349 300 10.00 7.28 553
17 176359 300 10.00 7.52 536
18 176370 300 10.00 7.51 561
19 176380 300 10.00 7.57 532
20 176391 300 10.00 7.67 529
21 176401 300 10.00 7.78 511
22 176412 300 10.00 7.80 516
23 176422 300 10.00 7.92 506
24 176433 300 10.00 7.97 495
25 176444 300 10.00 8.09 482
26 176454 3
35 176549 300 10.00 8.13 491
36 176559 300 10.00 8.12 482
37 176570 300 10.00 8.09 490
38 176580 300 10.00 8.02 512
39 176591 300 10.00 8.05 486
40 176601 300 10.00 8.05 498
41 176612 300 10.00 7.98 508
42 176622 300 10.00 7.96 502
43 176633 300 10.00 7.89 522
44 176644 300 10.00 7.93 499
45 176654 300 10.00 7.95 507
46 176665 300 10.00 7.87 517
47 176675 300 10.00 7.83 523
48 176686 300 10.00 7.80 516
49 176696 300 10.00 7.86 513
50 176707 300 10.00 7.76 525
51 176717 300 10.00 7.76 530
52 176728 300 10.00 7.68 527
53 176738 300 10.00 7.67 541
54 176749 300 10.00 7.69 527
55 176759 300 10.00 7.62 548
56 176770 300 10.00 7.58 538
57 176780 300 10.00 7.55 544
58 176791 300 10.00 7.59 542
59 176801 300 10.00 7.53 546
60 176812 300 10.00 7.49 561
61 176822 300 10.00 7.53 541
62 176833 300 10.00 7.50 552
63 176843 300 10.00 7.50 555
64 176854 300 10.00 7.49 544
65 176864 300 10.00 7.51 553
66 176875 300 10.00 7.59 527
67 176886 300 10.00 7.60 536
68 176896 300 10.00 7.62 547
69 176907 300 177001 300 10.00 8.21 485
79 177012 300 10.00 8.25 469
80 177022 300 10.00 8.23 480
81 177033 300 10.00 8.13 487
82 177043 300 10.00 8.21 473
83 177054 300 10.00 8.18 480
84 177064 300 10.00 8.20 479
85 177075 300 10.00 8.17 492
86 177085 300 10.00 8.20 474
87 177096 300 10.00 8.24 475
88 177107 300 10.00 8.15 486
89 177117 300 10.00 8.15 481
90 177128 300 10.00 8.04 497
91 177138 300 10.00 8.06 491
92 177149 300 10.00 7.97 518
93 177159 300 10.00 7.92 509
94 177170 300 10.00 7.82 531
95 177180 300 10.00 7.89 503
96 177191 300 10.00 7.85 527
97 177201 300 10.00 7.80 520
98 177212 300 10.00 7.69 540
99 177222 300 10.00 7.72 523
100 177233 300 10.00 7.67 539
